"fk_table_schema","fk_table_name","fk_column_name","pk_table_schema","pk_table_name","pk_column_name","fk_constraint_name"
"public","group_user_attributes","user_attribute_uuid","public","user_attributes","user_attribute_uuid","group_user_attributes_user_attribute_uuid_foreign"
"public","groups","updated_by_user_uuid","public","users","user_uuid","groups_updated_by_user_uuid_foreign"
"public","groups","organization_id","public","organizations","organization_id","groups_organization_id_foreign"
"public","groups","created_by_user_uuid","public","users","user_uuid","groups_created_by_user_uuid_foreign"
"public","invite_links","user_uuid","public","users","user_uuid","invite_links_user_uuid_foreign"
"public","invite_links","organization_id","public","organizations","organization_id","invite_links_organization_id_fkey"
"public","job_steps","job_uuid","public","jobs","job_uuid","job_steps_job_uuid_foreign"
"public","jobs","job_type","public","job_types","job_type","jobs_job_type_foreign"
"public","metrics_tree_edges","target_metric_catalog_search_uuid","public","catalog_search","catalog_search_uuid","metrics_tree_edges_target_metric_catalog_search_uuid_foreign"
"public","metrics_tree_edges","source_metric_catalog_search_uuid","public","catalog_search","catalog_search_uuid","metrics_tree_edges_source_metric_catalog_search_uuid_foreign"
"public","metrics_tree_edges","created_by_user_uuid","public","users","user_uuid","metrics_tree_edges_created_by_user_uuid_foreign"
"public","notifications","user_uuid","public","users","user_uuid","notifications_user_uuid_foreign"
"public","onboarding","organization_id","public","organizations","organization_id","onboarding_organization_id_foreign"
"public","openid_identities","user_id","public","users","user_id","openid_identities_user_id_foreign"
"public","organization_allowed_email_domain_projects","role","public","project_membership_roles","role","organization_allowed_email_domain_projects_role_foreign"
"public","organization_allowed_email_domain_projects","allowed_email_domains_uuid","public","organization_allowed_email_domains","allowed_email_domains_uuid","organization_allowed_email_domain_projects_allowed_email_domain"
"public","organization_allowed_email_domain_projects","project_uuid","public","projects","project_uuid","organization_allowed_email_domain_projects_project_uuid_foreign"
"public","organization_allowed_email_domains","organization_uuid","public","organizations","organization_uuid","organization_allowed_email_domains_organization_uuid_foreign"
"public","organization_allowed_email_domains","role","public","organization_membership_roles","role","organization_allowed_email_domains_role_foreign"
"public","organization_color_palettes","organization_uuid","public","organizations","organization_uuid","organization_color_palettes_organization_uuid_foreign"
"public","organization_member_user_attributes","user_id","public","organization_memberships","user_id","organization_member_user_attributes_user_id_organization_id_for"
